"","OBJECTID","CommonGenus","CommonName","BotanicalGenus","Botanical","OnStreet","Location","ConditionTreeHealth","DBH","Height","LandmarkTree","Place"
"2568",1599,"maple","maple, Norway","Acer","Acer platanoides","ARDMOOR AVE","1431 ARDMOOR AVE","Good","11 - 15","31-50","No","Street"
"2569",18911,"fir","fir, balsam","Abies","Abies balsamea","GARDEN HOMES PARK","GARDEN HOMES PARK","Neutral","0 - 5","0 - 10","No","Park"
"2570",45469,"linden","linden, littleleaf","Tilia","Tilia cordata","FRANKLIN ST","1610 FRANKLIN ST","Good","11 - 15","51-70","No","Street"
"2571",6763,"maple","maple, Norway","Acer","Acer platanoides","S STATE ST","1720 S STATE ST","Neutral","6 - 10","31-50","No","Street"
"2572",20534,"pine","pine, Scotch","Pinus","Pinus sylvestris","ROSE WHITE PARK","ROSE WHITE PARK","Neutral","11 - 15","51-70","No","Park"
"2573",333772,"cherry","cherry, flowering","Prunus","Prunus serrulata Kwanzan","FERNWOOD AVE","2727 FERNWOOD AVE","Very Good","0 - 5","0 - 10","No","Street"
"2574",38190,"oak","oak, English","Quercus","Quercus robur","LOOKOUT CIR","2716 LOOKOUT CIR","Very Good","0 - 5","0 - 10","No","Street"
"2575",38387,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","PACKARD RD","2991 PACKARD RD","Good","6 - 10","11-20","No","Street"
"2576",44928,"maple","maple, Norway","Acer","Acer platanoides","WINES DR","1126 WINES DR","Neutral","16 - 20","31-50","Yes","Street"
"2577",40059,"maple","maple, sugar","Acer","Acer saccharum","BERKSHIRE RD","1015 BERKSHIRE RD","Good","21 - 25","51-70","Yes","Street"
"2578",4894,"magnolia","magnolia, saucer","Magnolia","Magnolia x soulangiana","PITTSFIELD BLVD","2504 PITTSFIELD BLVD","Very Good","6 - 10","11-20","No","Borderline"
"2580",9451,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","AUSTIN AVE","1901 AUSTIN AVE","Neutral","0 - 5","11-20","No","Street"
"2581",50810,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","GLENDALOCH RD","2249 GLENDALOCH RD","Neutral","6 - 10","31-50","No","Street"
"2585",37079,"oak","oak, northern red","Quercus","Quercus rubra","E OAKBROOK DR","2723 S STATE ST","Neutral","0 - 5","21-30","No","Street"
"2586",21261,"maple","maple, sugar","Acer","Acer saccharum","BUHR PARK","BUHR PARK","Neutral","16 - 20","31-50","Yes","Park"
"2587",50573,"pine","pine, Austrian","Pinus","Pinus nigra","SOUTHEAST AREA PARK","SOUTHEAST AREA PARK","Good","6 - 10","21-30","No","Park"
"2588",23182,"maple","maple, sugar","Acer","Acer saccharum","N BAYLIS DR","2878 N BAYLIS DR","Bad","21 - 25","51-70","Yes","Street"
"2589",22850,"maple","maple, Freeman","Acer","Acer x freemanii","KING GEORGE BLVD","2876 E EISENHOWER PKWY","Good","0 - 5","21-30","No","Street"
"2590",36581,"maple","maple, Norway","Acer","Acer platanoides","ESCH CT","1395 ESCH CT","Neutral","11 - 15","31-50","No","Street"
"2591",20929,"lilac","lilac, Japanese tree","Syringa","Syringa reticulata","ESCH PARK","ESCH PARK","Neutral","0 - 5","11-20","No","Park"
"2592",23348,"maple","maple, Norway","Acer","Acer platanoides","BIRCH HOLLOW DR","3020 BIRCH HOLLOW DR","Neutral","11 - 15","31-50","No","Street"
"2593",414505,"ginkgo","ginkgo","Ginkgo","Ginkgo biloba","BIRCH HOLLOW DR","3050 BIRCH HOLLOW DR","Very Good","0 - 5","0 - 10","No","Street"
"2594",33996,"serviceberry","serviceberry, spp.","Amelanchier","Amelanchier spp.","MARY BETH DOYLE PARK","MARY BETH DOYLE PARK","Good","0 - 5","0 - 10","No","Park"
"2595",33925,"maple","maple, red","Acer","Acer rubrum","MARY BETH DOYLE PARK","MARY BETH DOYLE PARK","Neutral","0 - 5","11-20","No","Park"
"2597",21190,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","BUHR PARK","BUHR PARK","Good","6 - 10","31-50","No","Park"
"2598",46897,"spruce","spruce, white","Picea","Picea glauca","ALLISON DR","531 ALLISON DR","Good","6 - 10","31-50","No","Street"
"2600",10115,"hickory","hickory, shagbark","Carya","Carya ovata","ORCHARD HILLS DR","213 ORCHARD HILLS DR","Neutral","21 - 25","51-70","Yes","Street"
"2601",10447,"ginkgo","ginkgo","Ginkgo","Ginkgo biloba","RIVERVIEW DR","205 RIVERVIEW DR","Good","0 - 5","0 - 10","No","Street"
"2602",29680,"maple","boxelder","Acer","Acer negundo","FULLER RD","2501 FULLER RD","Neutral","0 - 5","21-30","No","Street"
"2606",112754,"juniper","redcedar, eastern","Juniperus","Juniperus virginiana","JACKSON AVE","2150 JACKSON AVE","Very Good","0 - 5","0 - 10","No","Street"
"2607",18605,"oak","oak, white","Quercus","Quercus alba","VETERANS MEMORIAL PARK","VETERANS MEMORIAL PARK","Neutral","26 - 30","51-70","Yes","Park"
"2608",16684,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","N MAPLE RD","501 N MAPLE RD","Neutral","11 - 15","31-50","No","Street"
"2609",45996,"maple","maple, sugar","Acer","Acer saccharum","ARBANA DR","406 ARBANA DR","Neutral","26 - 30","51-70","Yes","Street"
"2610",31506,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","KENWOOD AVE","215 KENWOOD AVE","Neutral","6 - 10","31-50","No","Street"
"2611",31838,"parrotia","Persian parrotia","Parrotia","Parrotia persica","ABBOTT AVE","2109 ABBOTT AVE","Very Good","0 - 5","0 - 10","No","Street"
"2612",6036,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","FOURTH ST","309 FOURTH ST","Bad","6 - 10","20 - 30","No","Street"
"2613",30842,"lilac","lilac, Japanese tree","Syringa","Syringa reticulata","MULHOLLAND AVE","322 MULHOLLAND AVE","Neutral","0 - 5","11-20","No","Street"
"2614",46162,"zelkova","zelkova, Japanese","Zelkova","Zelkova serrata","N SEVENTH ST","1366 W HURON ST","Neutral","16 - 20","31-50","No","Street"
"2615",14692,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","FOUNTAIN ST","530 MILLER AVE","Good","6 - 10","21-30","No","Street"
"2617",31340,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","BEMIDJI CT","560 BEMIDJI CT","Neutral","16 - 20","31-50","No","Street"
"2618",32336,"maple","maple, sugar","Acer","Acer saccharum","W LIBERTY ST","1033 W LIBERTY ST","Bad","26 - 30","GT70","Yes","Street"
"2619",55150,"maple","maple, silver","Acer","Acer saccharinum","SIXTH ST","539 SIXTH ST","Bad","16 - 20","30 - 50","No","Street"
"2620",27925,"maple","maple, Norway","Acer","Acer platanoides","FIFTH ST","442 FIFTH ST","Good","11 - 15","30 - 50","No","Street"
"2621",49316,"hackberry","hackberry, common","Celtis","Celtis occidentalis","LESLIE PARK","LESLIE PARK","Neutral","0 - 5","11-20","No","Park"
"2622",35585,"maple","maple, sugar","Acer","Acer saccharum","PALOMAR DR","1721 PALOMAR DR","Good","11 - 15","31-50","No","Street"
"2623",35917,"oak","oak, swamp white","Quercus","Quercus bicolor","ALHAMBRA DR","1810 ALHAMBRA DR","Neutral","0 - 5","0 - 10","No","Street"
"2624",1459,"maple","maple, sugar","Acer","Acer saccharum","ARBORDALE ST","1725 ARBORDALE ST","Neutral","11 - 15","31-50","No","Street"
"2625",32502,"hophornbeam","hophornbeam, American","Ostrya","Ostrya virginiana","PENNSYLVANIA AVE","1020 PENNSYLVANIA AVE","Good","0 - 5","0 - 10","No","Street"
"2626",36,"pine","pine, eastern white","Pinus","Pinus strobus","W DOBSON PL","3108 W DOBSON PL","Bad","6 - 10","31-50","No","Street"
"2627",29585,"spruce","spruce, Colorado","Picea","Picea pungens","HURON PKWY","1500 HURON PKWY","Neutral","6 - 10","11-20","No","Street"
"2628",22684,"lilac","lilac, Japanese tree","Syringa","Syringa reticulata","DELAWARE DR","2208 DELAWARE DR","Neutral","0 - 5","0 - 10","No","Street"
"2629",19767,"spruce","spruce, Colorado","Picea","Picea pungens","LANSDOWNE PARK","LANSDOWNE PARK","Good","11 - 15","31-50","No","Park"
"2630",21759,"pine","pine, Scotch","Pinus","Pinus sylvestris","SCIO CHURCH RD","800 SCIO CHURCH RD","Neutral","6 - 10","11-20","No","Street"
"2631",1791,"serviceberry","serviceberry, spp.","Amelanchier","Amelanchier spp.","MERSHON DR","1530 NORMANDY RD","Very Good","0 - 5","11-20","No","Street"
"2632",1957,"maple","maple, hedge","Acer","Acer campestre","SANFORD PL","1716 WINSTED BLVD","Very Good","0 - 5","11-20","No","Street"
"2633",35419,"maple","maple, sugar","Acer","Acer saccharum","MAYWOOD AVE","1570 MAYWOOD AVE","Bad","16 - 20","51-70","Yes","Street"
"2634",8194,"maple","maple, sugar","Acer","Acer saccharum","LINCOLN AVE","1401 LINCOLN AVE","Neutral","16 - 20","31-50","No","Street"
"2635",8526,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","BALDWIN AVE","1107 BALDWIN AVE","Good","21 - 25","51-70","No","Street"
"2636",8692,"maple","maple, Norway","Acer","Acer platanoides","WELLS ST","1503 WELLS ST","Good","11 - 15","31-50","No","Street"
"2638",348909,"cherry","cherry, Okame","Prunus","Prunus x Okame","SUNSET RD","702 SUNSET RD","Very Good","0 - 5","0 - 10","No","Street"
"2639",44241,"maple","maple, sugar","Acer","Acer saccharum","SUNSET RD","621 SUNSET RD","Good","21 - 25","51-70","Yes","Street"
"2640",44739,"maple","maple, Miyabei","Acer","Acer miyabei","WESTPORT RD","1265 WESTPORT RD","Very Good","0 - 5","0 - 10","No","Street"
"2641",133220,"hardy rubbertree","hardy rubbertree","Eucommia","Eucommia ulmoides","MICHIGAN AVE","1128 MICHIGAN AVE","Very Good","0 - 5","50 - 70","No","Street"
"2642",8028,"baldcypress","baldcypress, common","Taxodium","Taxodium distichum","MORTON AVE","1407 MORTON AVE","Very Good","0 - 5","0 - 10","No","Street"
"2643",25838,"spruce","spruce, white","Picea","Picea glauca","E EISENHOWER PKWY","410 E EISENHOWER PKWY","Good","6 - 10","11-20","No","Street"
"2645",19269,"linden","linden, American","Tilia","Tilia americana","BELIZE PARK","BELIZE PARK","Good","11 - 15","51-70","No","Park"
"2646",14194,"maple","maple, Miyabei","Acer","Acer miyabei","PEARL ST","921 GOTT ST","Very Good","6 - 10","0 - 10","No","Street"
"2647",14028,"maple","maple, red","Acer","Acer rubrum","BROOKS ST","1116 BROOKS ST","Neutral","6 - 10","31-50","No","Street"
"2649",25340,"maple","maple, red","Acer","Acer rubrum","W EISENHOWER PKWY","501 W EISENHOWER PKWY","Neutral","6 - 10","21-30","No","Street"
"2650",25506,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","W EISENHOWER PKWY","801 W EISENHOWER PKWY","Good","0 - 5","0 - 10","No","Street"
"2651",21427,"maple","maple, Norway","Acer","Acer platanoides","NORTHBROOK DR","1675 NORTHBROOK DR","Bad","0 - 5","0 - 10","No","Street"
"2652",25767,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","E EISENHOWER PKWY","315 E EISENHOWER PKWY","Neutral","0 - 5","11-20","No","Street"
"2653",56312,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","E WILLIAM ST","333 E WILLIAM ST","Neutral","11 - 15","31-50","No","Street"
"2655",54391,"blackgum","blackgum","Nyssa","Nyssa sylvatica","N DIVISION ST","306 N DIVISION ST","Very Good","0 - 5","0 - 10","No","Street"
"2656",54154,"maple","maple, Norway","Acer","Acer platanoides","N FOURTH AVE","508 N FOURTH AVE","Neutral","6 - 10","31-50","No","Street"
"2657",15024,"maple","maple, Amur","Acer","Acer tataricum ginnala","FELCH ST","220 FELCH ST","Neutral","6 - 10","11-20","No","Street"
"2658",48652,"birch","birch, river","Betula","Betula nigra","SUGARBUSH PARK","SUGARBUSH PARK","Neutral","0 - 5","11-20","No","Park"
"2659",48818,"willow","willow, weeping","Salix","Salix babylonica","ARBOR HILLS NATURE AREA","ARBOR HILLS NATURE AREA","Good","6 - 10","51-70","No","Street"
"2662",336340,"blackgum","blackgum","Nyssa","Nyssa sylvatica","S FOURTH AVE","213 S FOURTH AVE","Very Good","0 - 5","0 - 10","No","Street"
"2664",229456,"cherry/plum","cherry/plum, spp.","Prunus","Prunus spp.","JONES DR","1440 JONES DR","Bad","0 - 5","0 - 10","No","Street"
"2665",42818,"maple","maple, silver","Acer","Acer saccharinum","PONTIAC TRL","1416 PONTIAC TRL","Neutral","26 - 30","51-70","Yes","Street"
"2666",49648,"maple","maple, Norway","Acer","Acer platanoides","BARTON NATURE AREA","BARTON NATURE AREA","Neutral","6 - 10","31-50","No","Park"
"2667",17609,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","LOWELL RD","1400 WARRINGTON DR","Neutral","16 - 20","51-70","No","Street"
"2668",52233,"maple","maple, red","Acer","Acer rubrum","GETTYSBURG RD","3476 GETTYSBURG RD","Neutral","0 - 5","11-20","No","Street"
"2669",37577,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","FRIEZE AVE","2002 FRIEZE AVE","Good","16 - 20","51-70","No","Street"
"2670",13767,"maple","maple, Norway","Acer","Acer platanoides","BROADWAY ST","1411 BROADWAY ST","Good","16 - 20","51-70","Yes","Street"
"2671",50739,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","FULLER PARK","FULLER PARK","Good","0 - 5","21-30","No","Park"
"2674",13530,"oak","oak, English","Quercus","Quercus robur","PLYMOUTH RD","1600 PLYMOUTH RD","Bad","0 - 5","21-30","No","Street"
"2675",38075,"lilac","lilac, Japanese tree","Syringa","Syringa reticulata","AMELIA PL","2145 AMELIA PL","Very Good","0 - 5","0 - 10","No","Street"
"2676",3451,"maple","maple, sugar","Acer","Acer saccharum","MEDFORD RD","2285 MEDFORD RD","Good","11 - 15","31-50","No","Street"
"2677",349075,"oak","oak, black","Quercus","Quercus velutina","MANCHESTER RD","2301 MANCHESTER RD","Very Good","0 - 5","0 - 10","No","Street"
"2678",38502,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","E STADIUM BLVD","2424 E STADIUM BLVD","Good","11 - 15","31-50","No","Street"
"2679",33759,"hawthorn","hawthorn, Washington","Crataegus","Crataegus phaenopyrum","ARBOR OAKS PARK","ARBOR OAKS PARK","Neutral","0 - 5","11-20","No","Park"
"2680",338830,"redwood","dawn redwood","Metasequoia","Metasequoia glyptostroboides","SUNNYWOOD DR","2996 SUNNYWOOD DR","Very Good","0 - 5","0 - 10","No","Street"
"2681",338996,"hornbeam","hornbeam, American","Carpinus","Carpinus caroliniana","HILLTOP DR","2995 HILLTOP DR","Very Good","0 - 5","0 - 10","No","Street"
"2682",2953,"cherry/plum","cherry, black","Prunus","Prunus serotina","ROBERT ST","2509 JAMES ST","Bad","6 - 10","31-50","No","Borderline"
"2683",3617,"spruce","spruce, Colorado","Picea","Picea pungens","GLADSTONE AVE","1946 RIDGE AVE","Neutral","6 - 10","21-30","No","Street"
"2684",34162,"oak","oak, pin","Quercus","Quercus palustris","PILGRIM PARK","PILGRIM PARK","Very Good","16 - 20","31-50","Yes","Park"
"2685",53893,"maple","maple, sugar","Acer","Acer saccharum","E SUMMIT ST","112 E SUMMIT ST","Neutral","21 - 25","31-50","Yes","Street"
"2686",42581,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","WRIGHT ST","545 LONG SHORE DR","Neutral","16 - 20","51-70","No","Street"
"2687",42415,"maple","maple, sugar","Acer","Acer saccharum","ARGO DR","408 ARGO DR","Neutral","26 - 30","51-70","Yes","Street"
"2688",44075,"maple","maple, silver","Acer","Acer saccharinum","ORKNEY DR","1308 CULVER RD","Good","21 - 25","31-50","No","Street"
"2689",333921,"maple","maple, paperbark","Acer","Acer griseum","GREENE ST","916 GREENE ST","Good","0 - 5","0 - 10","No","Street"
"2691",299131,"serviceberry","serviceberry, spp.","Amelanchier","Amelanchier spp.","BRIARCLIFF ST","2824 BRIARCLIFF ST","Very Good","0 - 5","0 - 10","No","Street"
"2692",7032,"maple","maple, sugar","Acer","Acer saccharum","GRANGER AVE","716 GRANGER AVE","Neutral","31 - 35","GT70","Yes","Street"
"2693",190990,"ginkgo","ginkgo","Ginkgo","Ginkgo biloba","HILL ST","306 HILL ST","Very Good","0 - 5","0 - 10","No","Street"
"2694",6534,"linden","linden, American","Tilia","Tilia americana","BROWN ST","800 BROWN ST","Neutral","26 - 30","GT70","Yes","Street"
"2695",11609,"maple","maple, red","Acer","Acer rubrum","EAGLE CT","3160 EAGLE CT","Neutral","6 - 10","31-50","No","Street"
"2696",52731,"maple","maple, red","Acer","Acer rubrum","COMMONWEALTH BLVD","2311 GREEN RD","Neutral","6 - 10","21-30","No","Street"
"2697",52897,"maple","maple, red","Acer","Acer rubrum","GEORGETOWN BLVD","2320 GEORGETOWN BLVD","Neutral","11 - 15","31-50","No","Street"
"2698",40992,"maple","maple, Norway","Acer","Acer platanoides","BLUETT DR","3154 BLUETT DR","Neutral","0 - 5","11-20","No","Street"
"2700",795,"hackberry","hackberry, common","Celtis","Celtis occidentalis","GREEN RD","3615 GREEN BRIER BLVD","Good","0 - 5","0 - 10","No","Street"
"2701",12605,"linden","linden, littleleaf","Tilia","Tilia cordata","PLACID WAY","2381 PLACID WAY","Neutral","11 - 15","51-70","No","Street"
"2702",107086,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","WASHTENAW AVE","3250 WASHTENAW AVE","Good","6 - 10","10 - 20","No","Street"
"2703",51735,"pine","pine, eastern white","Pinus","Pinus strobus","ARLINGTON BLVD","2781 KENILWORTH DR","Neutral","0 - 5","0 - 10","No","Street"
"2704",22186,"linden","linden, littleleaf","Tilia","Tilia cordata","WILTSHIRE CT","2015 WILTSHIRE CT","Good","0 - 5","11-20","No","Street"
"2705",36083,"oak","oak, pin","Quercus","Quercus palustris","S MAPLE RD","1669 S MAPLE RD","Neutral","6 - 10","21-30","No","Street"
"2706",26763,"oak","oak, English","Quercus","Quercus robur","S STATE ST","3770 S STATE ST","Good","11 - 15","21-30","No","Street"
"2708",51237,"maple","maple, Amur","Acer","Acer tataricum ginnala","CHESTNUT DR","1029 CHESTNUT DR","Good","0 - 5","0 - 10","No","Street"
"2709",333755,"maple","maple, paperbark","Acer","Acer griseum","EDGEWOOD AVE","2510 ELMWOOD AVE","Very Good","0 - 5","0 - 10","No","Street"
"2710",4447,"spruce","spruce, white","Picea","Picea glauca","ELMWOOD AVE","2510 ELMWOOD AVE","Very Good","6 - 10","31-50","No","Street"
"2711",4613,"maple","maple, sugar","Acer","Acer saccharum","BELLWOOD AVE","3196 EDGEWOOD DR","Good","11 - 15","31-50","No","Street"
"2712",5111,"maple","maple, Norway","Acer","Acer platanoides","PROFESSIONAL DR","3135 PROFESSIONAL DR","Good","11 - 15","21-30","No","Street"
"2713",1293,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","CHATHAM WAY","3653 CHATHAM WAY","Neutral","11 - 15","31-50","No","Street"
"2714",1032,"goldenraintree","goldenraintree","Koelreuteria","Koelreuteria paniculata","CRAWFORD LN","3616 CHATHAM WAY","Very Good","0 - 5","0 - 10","No","Street"
"2715",338759,"hornbeam","hornbeam, American","Carpinus","Carpinus caroliniana","BURR OAK DR","649 BURR OAK DR","Very Good","0 - 5","0 - 10","No","Street"
"2716",33498,"locust","locust, black","Robinia","Robinia pseudoacacia","W LIBERTY RD","3200 W LIBERTY RD","Neutral","16 - 20","51-70","No","Street"
"2718",46731,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","CENTER DR","801 CENTER DR","Good","31 - 35","51-70","Yes","Street"
"2719",368,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","MARKBARRY DR","1025 MARKBARRY DR","Good","6 - 10","21-30","No","Street"
"2720",119987,"maackia","Amur maackia","Maackia","Maackia amurensis","WYNNSTONE DR","3840 WYNNSTONE DR","Very Good","0 - 5","0 - 10","No","Street"
"2721",534,"walnut","walnut, black","Juglans","Juglans nigra","S FOLKSTONE CT","1325 S FOLKSTONE CT","Bad","16 - 20","51-70","Yes","Street"
"2722",46660,"maple","maple, Tatarian","Acer","Acer tataricum","ARCHWOOD DR","725 ARCHWOOD DR","Good","0 - 5","0 - 10","No","Street"
"2723",46992,"alder","alder, common","Alnus","Alnus glutinosa","BERNICE AVE","2654 BERNICE AVE","Neutral","0 - 5","11-20","No","Street"
"2725",258673,"tuliptree","tuliptree","Liriodendron","Liriodendron tulipifera","ROSEWOOD ST","1155 ROSEWOOD ST","Very Good","0 - 5","0 - 10","No","Street"
"2726",2455,"linden","linden, littleleaf","Tilia","Tilia cordata","TREMMEL AVE","2150 TREMMEL AVE","Neutral","11 - 15","31-50","No","Street"
"2727",38004,"maple","maple, Miyabei","Acer","Acer miyabei","CRESTLAND DR","1571 CRESTLAND DR","Good","0 - 5","0 - 10","No","Street"
"2728",9190,"linden","linden, American","Tilia","Tilia americana","SHADFORD RD","1709 SHADFORD RD","Good","21 - 25","51-70","No","Street"
"2729",11111,"magnolia","magnolia, star","Magnolia","Magnolia stellata","WATERSHED CT","765 WATERSHED CT","Neutral","0 - 5","0 - 10","No","Street"
"2735",5609,"maple","maple, sugar","Acer","Acer saccharum","FIFTH ST","617 W MADISON ST","Bad","21 - 25","30 - 50","Yes","Street"
"2736",55648,"maple","maple, silver","Acer","Acer saccharinum","LUTZ AVE","1307 LUTZ AVE","Good","11 - 15","31-50","No","Street"
"2737",55814,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","REDEEMER AVE","1015 REDEEMER AVE","Neutral","6 - 10","21-30","No","Street"
"2738",49814,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","GALLUP PARK","GALLUP PARK","Good","0 - 5","11-20","No","Park"
"2739",47158,"maple","maple, Tatarian","Acer","Acer tataricum","PATRICIA AVE","1208 PATRICIA AVE","Good","0 - 5","0 - 10","No","Street"
"2740",331763,"coffeetree","Kentucky coffeetree","Gymnocladus","Gymnocladus dioicus","S MAIN ST","2099 S MAIN ST","Good","0 - 5","0 - 10","No","Street"
"2741",36415,"maple","maple, Norway","Acer","Acer platanoides","HENRY ST","707 HENRY ST","Bad","11 - 15","21-30","No","Street"
"2743",15688,"maple","maple, sugar","Acer","Acer saccharum","ALICE ST","508 ALICE ST","Neutral","11 - 15","51-70","No","Street"
"2744",18771,"maple","maple, red","Acer","Acer rubrum","WELLINGTON PARK","WELLINGTON PARK","Neutral","6 - 10","21-30","No","Park"
"2745",45071,"linden","linden, littleleaf","Tilia","Tilia cordata","ARGYLE CRES","1400 ARGYLE CRES","Good","11 - 15","51-70","No","Street"
"2746",45237,"crabapple","crabapple, flowering","Malus","Malus pumila","CREAL CRES","1624 HATCHER CRES","Very Good","0 - 5","0 - 10","No","Street"
"2747",15190,"parrotia","Persian parrotia","Parrotia","Parrotia persica","N CIRCLE DR","1112 HASPER DR","Very Good","0 - 5","0 - 10","No","Street"
"2748",348577,"hophornbeam","hophornbeam, American","Ostrya","Ostrya virginiana","MILLER AVE","2260 MILLER AVE","Very Good","0 - 5","0 - 10","No","Street"
"2749",38739,"maple","maple, silver","Acer","Acer saccharinum","PARKWOOD AVE","2671 PARKWOOD AVE","Neutral","11 - 15","51-70","No","Street"
"2750",4874,"maple","maple, silver","Acer","Acer saccharinum","OAKWOOD ST","3304 OAKWOOD ST","Neutral","21 - 25","51-70","Yes","Street"
"2751",38573,"maple","maple, silver","Acer","Acer saccharinum","NORWOOD ST","2809 ELMWOOD AVE","Neutral","16 - 20","51-70","No","Street"
"2752",38241,"maple","maple, Norway","Acer","Acer platanoides","HAMPSHIRE RD","2729 HAMPSHIRE RD","Good","16 - 20","31-50","Yes","Street"
"2753",4115,"magnolia","magnolia, saucer","Magnolia","Magnolia x soulangiana","EASY ST","2645 EASY ST","Neutral","0 - 5","0 - 10","No","Street"
"2754",38336,"linden","linden, littleleaf","Tilia","Tilia cordata","CRANBROOK RD","2704 CRANBROOK RD","Neutral","11 - 15","31-50","No","Street"
"2755",39000,"elm","elm, smoothleaf","Ulmus","Ulmus carpinifolia","PINECREST AVE","2491 PINECREST AVE","Neutral","11 - 15","51-70","No","Street"
"2756",50312,"serviceberry","serviceberry, spp.","Amelanchier","Amelanchier spp.","SYLVAN PARK","SYLVAN PARK","Neutral","0 - 5","0 - 10","No","Park"
"2757",9096,"maple","maple, Norway","Acer","Acer platanoides","WASHTENAW AVE","1920 WASHTENAW AVE","Neutral","11 - 15","31-50","No","Street"
"2758",9594,"maple","maple, red","Acer","Acer rubrum","BROCKMAN BLVD","2128 BROCKMAN BLVD","Neutral","6 - 10","21-30","No","Street"
"2759",39355,"maple","maple, silver","Acer","Acer saccharinum","SHANNONDALE RD","2415 SHANNONDALE RD","Good","6 - 10","51-70","No","Street"
"2761",10258,"pear","pear, callery","Pyrus","Pyrus calleryana","ROCK CREEK DR","540 ROCK CREEK DR","Good","0 - 5","11-20","No","Street"
"2762",18201,"walnut","walnut, black","Juglans","Juglans nigra","W HURON RIVER DR","2744 HOLYOKE LN","Neutral","16 - 20","51-70","Yes","Street"
"2763",17752,"maple","maple, red","Acer","Acer rubrum","SALISBURY LN","2668 SALISBURY LN","Neutral","6 - 10","31-50","No","Street"
"2764",26359,"maple","maple, Norway","Acer","Acer platanoides","E EISENHOWER PKWY","777 E EISENHOWER PKWY","Bad","0 - 5","11-20","No","Street"
"2765",23039,"maple","maple, Norway","Acer","Acer platanoides","TACOMA CIR","3324 TACOMA CIR","Neutral","11 - 15","31-50","No","Street"
"2766",36724,"birch","birch, river","Betula","Betula nigra","KING GEORGE BLVD","1382 KING GEORGE BLVD","Very Good","0 - 5","0 - 10","No","Street"
"2767",37056,"linden","linden, littleleaf","Tilia","Tilia cordata","E OAKBROOK DR","1000 E OAKBROOK DR","Neutral","0 - 5","11-20","No","Street"
"2768",338404,"coffeetree","Kentucky coffeetree","Gymnocladus","Gymnocladus dioicus","LOWELL RD","2700 LOWELL RD","Very Good","0 - 5","0 - 10","No","Street"
"2769",338355,"maple","maple, Miyabei","Acer","Acer miyabei","HOLYOKE LN","2737 HOLYOKE LN","Very Good","0 - 5","0 - 10","No","Street"
"2770",23205,"maple","maple, sugar","Acer","Acer saccharum","LOGAN CT","2910 LOGAN CT","Neutral","11 - 15","31-50","No","Street"
"2772",34019,"oak","oak, northern red","Quercus","Quercus rubra","MARY BETH DOYLE PARK","MARY BETH DOYLE PARK","Neutral","0 - 5","11-20","No","Park"
"2773",31861,"planetree/sycamore","sycamore, American","Platanus","Platanus occidentalis","CHARLTON AVE","207 BURWOOD AVE","Neutral","11 - 15","51-70","No","Street"
"2774",31695,"linden","linden, American","Tilia","Tilia americana","CHARLTON AVE","1729 CHARLTON AVE","Good","11 - 15","31-50","No","Street"
"2775",10092,"maple","boxelder","Acer","Acer negundo","ORCHARD HILLS DR","345 ORCHARD HILLS DR","Neutral","0 - 5","11-20","No","Street"
"2776",10209,"pear","pear, callery","Pyrus","Pyrus calleryana","ROCK CREEK DR","485 ROCK CREEK DR","Neutral","11 - 15","31-50","Yes","Street"
"2777",10541,"birch","birch, paper","Betula","Betula papyrifera","HUNTINGTON PL","424 ONAWAY PL","Good","11 - 15","31-50","Yes","Street"
"2779",30865,"pear","pear, callery","Pyrus","Pyrus calleryana","W WASHINGTON ST","719 W WASHINGTON ST","Neutral","0 - 5","11-20","No","Street"
"2780",19246,"maple","maple, Norway","Acer","Acer platanoides","WEST PARK","WEST PARK","Bad","6 - 10","21-30","No","Park"
