"","OBJECTID","CommonGenus","CommonName","BotanicalGenus","Botanical","OnStreet","Location","ConditionTreeHealth","DBH","Height","LandmarkTree","Place"
"1742",50186,"coffeetree","Kentucky coffeetree","Gymnocladus","Gymnocladus dioicus","GALLUP PARK","GALLUP PARK","Neutral","0 - 5","11-20","No","Park"
"1743",49854,"linden","linden, American","Tilia","Tilia americana","GALLUP PARK","GALLUP PARK","Neutral","6 - 10","51-70","No","Park"
"1744",28546,"corktree","Amur corktree","Phellodendron","Phellodendron amurense","HURON PKWY","301 HURON PKWY","Neutral","0 - 5","0 - 10","No","Street"
"1745",20640,"maple","maple, sugar","Acer","Acer saccharum","SOUTH UNIVERSITY PARK","SOUTH UNIVERSITY PARK","Neutral","11 - 15","51-70","No","Park"
"1746",55605,"maple","maple, sugar","Acer","Acer saccharum","MT VERNON AVE","802 MT VERNON AVE","Neutral","21 - 25","31-50","Yes","Street"
"1747",55937,"maple","maple, sugar","Acer","Acer saccharum","NORTHWOOD ST","1531 NORTHWOOD ST","Good","26 - 30","51-70","Yes","Street"
"1748",10407,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","RIVERVIEW DR","427 RIVERVIEW DR","Neutral","6 - 10","31-50","No","Street"
"1749",10653,"aspen/poplar","cottonwood, eastern","Populus","Populus deltoides","GEDDES AVE","3165 GEDDES AVE","Neutral","31 - 35","51-70","Yes","Street"
"1750",47530,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","SEQUOIA PKWY","2661 SEQUOIA PKWY","Good","6 - 10","21-30","No","Street"
"1751",19312,"oak","oak, northern red","Quercus","Quercus rubra","FRITZ PARK","FRITZ PARK","Bad","26 - 30","51-70","Yes","Park"
"1752",55596,"oak","oak, swamp white","Quercus","Quercus bicolor","ALLMENDINGER PARK","ALLMENDINGER PARK","Bad","0 - 5","11-20","No","Park"
"1753",16644,"coffeetree","Kentucky coffeetree","Gymnocladus","Gymnocladus dioicus","N MAPLE RD","1111 N MAPLE RD","Neutral","6 - 10","31-50","No","Street"
"1755",16395,"elm","elm, American","Ulmus","Ulmus americana","CARBECK DR","2406 WALTER DR","Neutral","6 - 10","51-70","No","Street"
"1756",45363,"maple","maple, Norway","Acer","Acer platanoides","HATCHER CRES","1455 HATCHER CRES","Good","11 - 15","31-50","No","Street"
"1758",38625,"linden","linden, American","Tilia","Tilia americana","BELLWOOD AVE","2906 BELLWOOD AVE","Neutral","16 - 20","51-70","Yes","Street"
"1759",4656,"maple","maple, silver","Acer","Acer saccharinum","BELLWOOD AVE","2655 BELLWOOD AVE","Good","16 - 20","51-70","No","Street"
"1760",38284,"maple","maple, Norway","Acer","Acer platanoides","HAMPSHIRE RD","2817 CUMBERLAND AVE","Good","16 - 20","51-70","Yes","Street"
"1761",38293,"elm","elm, American","Ulmus","Ulmus americana","HAMPSHIRE RD","2712 HAMPSHIRE RD","Very Good","0 - 5","0 - 10","No","Street"
"1762",46952,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","PATRICIA CT","2624 PATRICIA CT","Good","21 - 25","51-70","Yes","Street"
"1763",9265,"maple","maple, sugar","Acer","Acer saccharum","WOODSIDE RD","2201 WOODSIDE RD","Neutral","16 - 20","51-70","No","Street"
"1764",39266,"linden","linden, littleleaf","Tilia","Tilia cordata","ADARE RD","2325 ADARE RD","Neutral","21 - 25","51-70","Yes","Street"
"1765",51955,"maple","maple, sugar","Acer","Acer saccharum","ROXBURY RD","1565 ROXBURY RD","Neutral","6 - 10","11-20","No","Street"
"1766",10261,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","ROCK CREEK DR","560 ROCK CREEK DR","Neutral","0 - 5","11-20","No","Street"
"1767",50627,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","SOUTHEAST AREA PARK","SOUTHEAST AREA PARK","Neutral","0 - 5","11-20","No","Park"
"1768",17577,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","PROVINCETOWN CT","2715 PROVINCETOWN CT","Neutral","0 - 5","11-20","No","Street"
"1769",26282,"spruce","spruce, white","Picea","Picea glauca","E EISENHOWER PKWY","3001 S STATE ST","Good","6 - 10","21-30","No","Street"
"1770",22950,"maple","maple, Norway","Acer","Acer platanoides","BRENTWOOD CT","3425 BRENTWOOD CT","Neutral","21 - 25","31-50","Yes","Street"
"1771",36610,"oak","oak, shingle","Quercus","Quercus imbricaria","ESCH AVE","2859 ESCH AVE","Good","6 - 10","20 - 30","No","Street"
"1772",150527,"filbert","filbert, Turkish","Corylus","Corylus colurna","PAGE AVE","1495 S ASHLEY ST","Very Good","0 - 5","0 - 10","No","Street"
"1774",29688,"maple","maple, red","Acer","Acer rubrum","FULLER RD","2501 FULLER RD","Neutral","0 - 5","21-30","No","Street"
"1775",34016,"oak","oak, northern red","Quercus","Quercus rubra","MARY BETH DOYLE PARK","MARY BETH DOYLE PARK","Neutral","0 - 5","11-20","No","Park"
"1776",3019,"pear","pear, callery","Pyrus","Pyrus calleryana","COLONY RD","2818 COLONY RD","Good","0 - 5","11-20","No","Street"
"1777",21327,"maple","maple, silver","Acer","Acer saccharinum","BUHR PARK","BUHR PARK","Neutral","11 - 15","31-50","No","Park"
"1778",3314,"maple","maple, silver","Acer","Acer saccharinum","KIMBERLEY RD","2110 COLUMBIA AVE","Good","0 - 5","21-30","No","Street"
"1779",15671,"baldcypress","baldcypress, common","Taxodium","Taxodium distichum","ARLENE ST","2003 ARLENE ST","Very Good","0 - 5","0 - 10","No","Street"
"1780",18659,"linden","linden, littleleaf","Tilia","Tilia cordata","VETERANS MEMORIAL PARK","VETERANS MEMORIAL PARK","Neutral","6 - 10","21-30","No","Park"
"1781",18671,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","VETERANS MEMORIAL PARK","VETERANS MEMORIAL PARK","Neutral","6 - 10","11-20","No","Park"
"1782",10298,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","GEDDES AVE","2040 GEDDES AVE","Neutral","21 - 25","GT70","Yes","Street"
"1783",191397,"cherry/plum","cherry/plum, spp.","Prunus","Prunus spp.","PINE RIDGE ST","300 PINE RIDGE ST","Very Good","0 - 5","0 - 10","No","Street"
"1784",339028,"hornbeam","hornbeam, American","Carpinus","Carpinus caroliniana","BURWOOD AVE","581 BURWOOD AVE","Very Good","0 - 5","0 - 10","No","Street"
"1785",32233,"spruce","spruce, Serbian","Picea","Picea omorika","W LIBERTY ST","1820 W LIBERTY ST","Good","0 - 5","21-30","No","Street"
"1789",15917,"oak","oak, northern red","Quercus","Quercus rubra","W HURON ST","1123 W HURON ST","Neutral","0 - 5","21-30","No","Street"
"1790",306728,"blackgum","blackgum","Nyssa","Nyssa sylvatica","JACKSON AVE","102 S REVENA BLVD","Good","0 - 5","0 - 10","No","Street"
"1791",31655,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","VIRGINIA AVE","527 VIRGINIA AVE","Good","11 - 15","31-50","No","Street"
"1792",19003,"pine","pine, Scotch","Pinus","Pinus sylvestris","VIRGINIA PARK","VIRGINIA PARK","Neutral","11 - 15","51-70","No","Park"
"1793",31360,"zelkova","zelkova, Japanese","Zelkova","Zelkova serrata","CHARLTON AVE","1511 CHARLTON AVE","Good","11 - 15","31-50","No","Street"
"1794",387976,"maple","maple, sugar","Acer","Acer saccharum","FOURTH ST","520 FOURTH ST","Neutral","21 - 25","50 - 70","No","Street"
"1795",55250,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","S SEVENTH ST","903 W LIBERTY ST","Good","11 - 15","31-50","No","Street"
"1798",49213,"hawthorn","hawthorn, spp.","Crataegus","Crataegus spp.","LESLIE PARK","LESLIE PARK","Neutral","0 - 5","11-20","No","Park"
"1799",49299,"hackberry","hackberry, common","Celtis","Celtis occidentalis","LESLIE PARK","LESLIE PARK","Neutral","0 - 5","11-20","No","Park"
"1800",11294,"spruce","spruce, Colorado","Picea","Picea pungens","BURGUNDY RD","1355 BURGUNDY RD","Good","0 - 5","11-20","No","Street"
